region,dataset,seed,model_name,profile,fp_cost,fn_cost,recommended_threshold,best_threshold,best_cost,recommended_cost,regret,fp_at_rec,fn_at_rec,fp_at_best,fn_at_best,predictions_csv_path
houston,houston_pooled_pairwise,46,hgbt,fn_heavy,1.0,3.0,0.95,0.2,22.0,34.0,12.0,1,11,7,5,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/houston/seed_46/houston_pooled_pairwise_tabular_all_models_test_predictions.csv
houston,houston_pooled_pairwise,46,hgbt,fn_very_heavy,1.0,5.0,0.95,0.05,30.0,56.0,26.0,1,11,10,4,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/houston/seed_46/houston_pooled_pairwise_tabular_all_models_test_predictions.csv
houston,houston_pooled_pairwise,46,hgbt,fp_heavy,3.0,1.0,0.95,0.95,14.0,14.0,0.0,1,11,1,11,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/houston/seed_46/houston_pooled_pairwise_tabular_all_models_test_predictions.csv
houston,houston_pooled_pairwise,47,hgbt,balanced,1.0,1.0,0.95,0.95,12.0,12.0,0.0,1,11,1,11,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/houston/seed_47/houston_pooled_pairwise_tabular_all_models_test_predictions.csv
houston,houston_pooled_pairwise,47,hgbt,fn_heavy,1.0,3.0,0.95,0.2,22.0,34.0,12.0,1,11,7,5,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/houston/seed_47/houston_pooled_pairwise_tabular_all_models_test_predictions.csv
houston,houston_pooled_pairwise,47,hgbt,fn_very_heavy,1.0,5.0,0.95,0.05,30.0,56.0,26.0,1,11,10,4,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/houston/seed_47/houston_pooled_pairwise_tabular_all_models_test_predictions.csv
houston,houston_pooled_pairwise,47,hgbt,fp_heavy,3.0,1.0,0.95,0.95,14.0,14.0,0.0,1,11,1,11,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/houston/seed_47/houston_pooled_pairwise_tabular_all_models_test_predictions.csv
houston,houston_pooled_pairwise,48,hgbt,balanced,1.0,1.0,0.95,0.95,12.0,12.0,0.0,1,11,1,11,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/houston/seed_48/houston_pooled_pairwise_tabular_all_models_test_predictions.csv
houston,houston_pooled_pairwise,48,hgbt,fn_heavy,1.0,3.0,0.95,0.2,22.0,34.0,12.0,1,11,7,5,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/houston/seed_48/houston_pooled_pairwise_tabular_all_models_test_predictions.csv
houston,houston_pooled_pairwise,48,hgbt,fn_very_heavy,1.0,5.0,0.95,0.05,30.0,56.0,26.0,1,11,10,4,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/houston/seed_48/houston_pooled_pairwise_tabular_all_models_test_predictions.csv
